instance,number of operations,slack time,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average object MA - carbon,average time MA-carbon,average cost MA-carbon,coefficient of variation MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M1T1_1.cas,10,10,6307955.828,2.619727373123169,6307955.828,2.42028284072876,6309584.31,1.11,2148436.5,0.0004820634530834885,96.0,2016781.81,6397257.46,96.0,86.0,7247433.6,3867954.97
CAS-PFSP-M1T1_2.cas,9,7,6023264.9452,1.8216979503631592,6023264.9452,1.6027138233184814,6023264.95,1.01,4040116.47,0.0,92.0,3928762.11,6032850.42,96.0,89.0,6264776.4,5485808.95
CAS-PFSP-M1T1_3.cas,13,2,31385144.6875,5.604937791824341,31385144.6875,5.439393043518066,31385981.18,1.38,22146625.06,4.1212348678277004e-05,96.0,21816926.48,31677450.68,96.0,94.0,33690418.04,23798103.73
CAS-PFSP-M1T1_4.cas,10,2,12671207.376599995,2.548379898071289,12671207.376599995,2.391151428222656,12671207.38,1.11,9836168.33,0.0,96.0,9648748.66,12856034.79,96.0,94.0,15466309.09,10788701.79
CAS-PFSP-M1T1_5.cas,10,3,4926132.3832,1.0354125499725342,4926132.3832,0.9758741855621338,4926132.38,1.11,2594863.54,0.0,96.0,2594863.54,4926132.38,96.0,93.0,10681417.69,5643918.46
CAS-PFSP-M1T1_6.cas,9,12,9775078.655,3.4743967056274414,9775078.655,3.298222303390503,9775078.65,1.02,6424057.33,0.0,89.0,6197086.93,9886136.66,96.0,84.0,10294310.48,6919433.07
CAS-PFSP-M1T1_7.cas,9,4,12685460.0753,6.412784576416016,12685460.0753,6.28250527381897,12685460.08,1.04,12544992.87,0.0,96.0,11835826.52,12864608.94,96.0,92.0,13435373.03,14663727.44
CAS-PFSP-M1T1_8.cas,10,8,4025549.6737,4.453310489654541,4025549.6737,4.329858779907227,4027443.61,1.11,2059204.49,0.0002956540464138243,95.9,1773891.75,4548135.95,96.0,88.0,7624930.52,5604168.02
CAS-PFSP-M1T1_9.cas,10,6,7816029.351299999,3.4779858589172363,7816029.351299999,3.2329862117767334,7817570.56,1.11,3608335.81,0.0003011472658840958,96.0,3336977.47,8665615.92,96.0,90.0,10714522.44,4375344.07
CAS-PFSP-M1T1_10.cas,10,8,13986713.5408,2.5478317737579346,13986713.5408,2.411259889602661,13986713.54,1.1,8553646.73,0.0,96.0,8323794.77,14641951.97,96.0,88.0,17507323.75,10772753.06
CAS-PFSP-M1T1_11.cas,10,2,11083050.5586,1.9351999759674072,11083050.5586,1.9736244678497317,11084288.82,1.13,7731962.53,9.121379065616949e-05,94.8,7557040.18,11256750.25,96.0,94.0,14342583.31,9701733.65
CAS-PFSP-M1T1_12.cas,9,10,3544280.4682,0.7440428733825684,3544280.4682,0.716350793838501,3547055.03,1.04,3206432.39,0.00046261193754301586,93.4,2909394.22,3691908.42,96.0,86.0,5834497.13,4975672.3
CAS-PFSP-M1T1_13.cas,11,2,4123336.0653,6.772193670272827,4123336.0653,6.577307462692261,4123336.07,1.2,4433962.59,0.0,94.0,4296492.37,4142269.08,96.0,94.0,6848581.29,6833437.62
CAS-PFSP-M1T1_14.cas,8,9,7806567.7306,0.8140959739685059,7806567.7306,0.6584193706512451,7813864.38,0.92,5072272.7,0.0014931587537996148,96.0,4564140.54,8006142.65,96.0,87.0,9075771.22,6338218.97
CAS-PFSP-M1T1_15.cas,9,7,4363582.1097,5.075126647949219,4363582.1097,4.657781839370728,4364101.77,1.02,7069561.02,0.00011907604986947865,91.0,6778694.36,4408060.89,96.0,89.0,5182359.38,8558741.14
CAS-PFSP-M1T1_16.cas,9,6,9842726.7118,1.1795518398284912,9842726.7118,1.1388063430786133,9842726.71,1.02,7030669.5,0.0,94.0,6532334.15,9888540.27,96.0,90.0,10087612.07,8064727.39
